timestamp,sweep_index,smu_voltage_V,Vdc_pv_start_V,Idc_pv_start_A,Vdc_pv_V,Idc_pv_A,f_ac_Hz,Vac_mag_raw_V,Vac_phase_raw_deg,Vac_mag_corrected_V,Vac_phase_corrected_deg,Iac_mag_raw_A,Iac_phase_raw_deg,Iac_mag_corrected_A,Iac_phase_corrected_deg,Z_mag_ohm,Z_phase_deg,Z_real_ohm,Z_imag_ohm,Y_real_S,Y_imag_S,C_uncorrected_F
2026-05-26T13:01:50,1,11.9,0.00163659894,0.098,0.00159044909,0.098,49.99999999999999,0.006886,-178.37,0.006886,-178.37,0.000196,157.28,0.000196,157.27999999999997,35.13265306122449,24.350000000000023,32.00738629777129,14.485528416513121,0.025931540496896555,-0.011735793209016618,-3.7356190006385835e-05
2026-05-26T13:01:54,1,11.9,0.00163659894,0.098,0.00177516366,0.099,84.93232323171236,0.007061,-179.33,0.007061,-179.33,5.3e-05,-165.32,5.3e-05,-165.32,133.22641509433961,-14.01000000000002,129.2633939605553,-32.25294809296596,0.00728274109510942,0.001817141445216507,3.405146972305738e-06
2026-05-26T13:01:58,1,11.9,0.00163659894,0.098,0.00136835527,0.098,144.26999059072133,0.007059,-179.47,0.007059,-179.47,5.5e-05,-163.2,5.5e-05,-163.2,128.34545454545454,-16.27000000000001,123.20549081692114,-35.957791020040396,0.007479439926761157,0.002182890843988967,2.40810903659425e-06
2026-05-26T13:02:02,1,11.9,0.00163659894,0.098,0.00153877197,0.098,245.06370946974494,0.007052,-179.62,0.007052,-179.62,6.4e-05,-151.25,6.4e-05,-151.25,110.1875,-28.370000000000005,96.95370451722626,-52.35708487527148,0.007985456503944902,0.004312318193788529,2.800605435262502e-06
2026-05-26T13:02:06,1,11.9,0.00163659894,0.098,0.00187900546,0.098,416.27660370093656,0.007039,-178.77,0.007039,-178.77,8.1e-05,-146.61,8.1e-05,-146.61,86.90123456790123,-32.16,73.56754170461116,-46.25625770601951,0.00974169103483409,0.006125176410121387,2.3418373608165764e-06
2026-05-26T13:02:10,1,11.9,0.00163659894,0.098,0.00147471416,0.099,707.1067811865474,0.00701,179.85,0.00701,179.85000000000002,0.000102,-144.76,0.000102,-144.76,68.72549019607843,-35.389999999999986,56.02700487767354,-39.80160457982086,0.011862103633230614,0.00842684272210387,1.8967059990999694e-06
2026-05-26T13:02:14,1,11.9,0.00163659894,0.098,0.0016807337,0.098,1201.1244339814311,0.006984,179.3,0.006984,179.3,0.000129,-146.19,0.000129,-146.19,54.139534883720934,-34.50999999999999,44.61245581099463,-30.672757031895376,0.015220435884844495,0.010464627497603976,1.3866150306661663e-06
2026-05-26T13:02:19,1,11.9,0.00163659894,0.098,0.00167017918,0.098,2040.2857733683695,0.006941,178.85,0.006941,178.85000000000002,0.00016,-146.76,0.00016,-146.76,43.381249999999994,-34.389999999999986,35.79873202505136,-24.502727133138908,0.01902232164943026,0.013019979492251914,1.0156391433960498e-06
2026-05-26T13:02:23,1,11.9,0.00163659894,0.098,0.00168321863,0.099,3465.724215775732,0.006899,178.43,0.006899,178.43,0.000191,-147.56,0.000191,-147.56,36.12041884816754,-34.00999999999999,29.94165864026054,-20.203508003244586,0.022949345239872083,0.015485357234002057,7.111273130495247e-07
2026-05-26T13:02:27,1,11.9,0.00163659894,0.098,0.00178926743,0.099,5887.040186524746,0.006852,177.55,0.006852,177.55,0.000232,-148.06,0.000232,-148.06,29.534482758620687,-34.389999999999986,24.372212275449915,-16.68175472244065,0.02794063122075429,0.019124187478224575,5.170185480884818e-07
