SMU_V,Vpv,Ipv
6.0,-3.96438803,1.952
6.1,-3.88372352,1.933
6.199999999999999,-3.80287773,1.914
6.299999999999999,-3.71675334,1.901
6.399999999999999,-3.62984689,1.889
6.499999999999998,-3.53977365,1.879
6.599999999999998,-3.44897672,1.87
6.6999999999999975,-3.3566439,1.862
6.799999999999997,-3.26333751,1.86
6.899999999999997,-3.16527906,1.854
6.9999999999999964,-3.07064309,1.85
7.099999999999996,-2.97573402,1.845
7.199999999999996,-2.88006372,1.841
7.299999999999995,-2.78355843,1.837
7.399999999999995,-2.68721463,1.832
7.499999999999995,-2.58980616,1.829
7.599999999999994,-2.49256321,1.826
7.699999999999994,-2.39523669,1.826
7.799999999999994,-2.29727487,1.824
7.899999999999993,-2.19958869,1.82
7.999999999999993,-2.10112149,1.819
8.099999999999993,-2.00312647,1.818
8.199999999999992,-1.90451116,1.815
8.299999999999992,-1.80659349,1.814
8.399999999999991,-1.70877417,1.811
8.499999999999991,-1.60989951,1.81
8.59999999999999,-1.51225902,1.808
8.69999999999999,-1.41391541,1.806
8.79999999999999,-1.3156285,1.805
8.89999999999999,-1.21769027,1.804
8.99999999999999,-1.11818191,1.802
9.099999999999989,-1.020457,1.801
9.199999999999989,-0.922507401,1.799
9.299999999999988,-0.824090654,1.797
9.399999999999988,-0.725414945,1.796
9.499999999999988,-0.627231696,1.793
9.599999999999987,-0.528884621,1.79
9.699999999999987,-0.43059295,1.79
9.799999999999986,-0.331929781,1.789
9.899999999999986,-0.233389244,1.788
9.999999999999986,-0.134560841,1.786
10.099999999999985,-0.0362878667,1.784
10.199999999999985,0.0625514437,1.782
10.299999999999985,0.160777296,1.781
10.399999999999984,0.259716549,1.78
10.499999999999984,0.356693816,1.777
10.599999999999984,0.447266068,1.768
10.699999999999983,0.506367435,1.727
10.799999999999983,0.537017217,1.658
10.899999999999983,0.555667884,1.58
10.999999999999982,0.56864164,1.497
11.099999999999982,0.578447296,1.414
11.199999999999982,0.586373808,1.328
11.299999999999981,0.592970709,1.235
11.39999999999998,0.598657981,1.15
11.49999999999998,0.603604676,1.064
11.59999999999998,0.607985778,0.976
11.69999999999998,0.611984415,0.886
11.79999999999998,0.615613066,0.795
11.899999999999979,0.618940684,0.7
11.999999999999979,0.622023891,0.61
12.099999999999978,0.624906244,0.516
12.199999999999978,0.627616863,0.417
12.299999999999978,0.630140987,0.321
12.399999999999977,0.632559754,0.227
12.499999999999977,0.634840528,0.135
12.599999999999977,0.63701755,0.04
12.699999999999976,0.639196191,-0.058
