timestamp,point_index,smu_voltage_V,Vdc_pv_V,Idc_adc1_raw,Idc_pv_A,Pdc_pv_W,is_mpp_candidate,is_negative_current_endpoint
2026-05-28T09:48:05,1,11.5,-0.42610593,0.066,0.066,-0.028122991380000004,False,False
2026-05-28T09:48:06,2,11.6,-0.33809942,0.065,0.065,-0.0219764623,False,False
2026-05-28T09:48:07,3,11.7,-0.222511284,0.065,0.065,-0.01446323346,False,False
2026-05-28T09:48:09,4,11.8,-0.12312468,0.066,0.066,-0.008126228880000001,False,False
2026-05-28T09:48:10,5,11.9,-0.0373469053,0.065,0.065,-0.0024275488444999997,False,False
2026-05-28T09:48:11,6,12.0,0.0784829144,0.066,0.066,0.005179872350400001,True,False
2026-05-28T09:48:12,7,12.1,0.161676908,0.065,0.065,0.010508999020000001,True,False
2026-05-28T09:48:13,8,12.2,0.274477192,0.066,0.066,0.018115494672,True,False
2026-05-28T09:48:14,9,12.3,0.379780505,0.065,0.065,0.024685732825,True,False
2026-05-28T09:48:15,10,12.4,0.464393219,0.064,0.064,0.029721166016000004,True,False
2026-05-28T09:48:16,11,12.5,0.56085298,0.06,0.06,0.033651178799999994,True,False
2026-05-28T09:48:17,12,12.6,0.653614794,0.04,0.04,0.026144591760000002,True,False
2026-05-28T09:48:18,13,12.7,0.705960006,0.007,0.007,0.004941720042,True,False
2026-05-28T09:48:19,14,12.8,0.754027073,-0.046,-0.046,-0.034685245358,False,True
