SMU_voltage_V,Vpv_V,Idc_pv_A,Power_W
9.5,-0.159262476,2.234,-0.35579237138399994
9.6,-0.059967157,2.234,-0.133966628738
9.7,0.0236128458,2.235,0.052774710363
9.8,0.130265845,2.231,0.290623100195
9.9,0.227193782,2.233,0.5073237152060001
10.0,0.341899867,2.232,0.7631205031440002
10.1,0.423653355,2.23,0.94474698165
10.2,0.502978078,2.206,1.1095696400680002
10.3,0.541124062,2.138,1.1569232445559998
10.4,0.558438717,2.066,1.153734389322
10.5,0.574139109,1.989,1.141962687801
10.6,0.584089785,1.903,1.111522860855
10.7,0.590683504,1.807,1.067365091728
10.8,0.597734636,1.731,1.034678654916
10.9,0.603599158,1.626,0.9814522309079999
11.0,0.607750386,1.539,0.9353278440539999
11.1,0.612897498,1.46,0.8948303470800001
11.2,0.616554121,1.355,0.835430833955
11.3,0.619923562,1.269,0.786683000178
11.4,0.623792681,1.184,0.7385705343039999
11.5,0.626859886,1.076,0.674501237336
11.6,0.629441631,0.992,0.624406097952
11.7,0.632698762,0.905,0.57259237961
11.8,0.635075106,0.797,0.506154859482
11.9,0.637511968,0.712,0.45390852121599995
12.0,0.640202851,0.626,0.400766984726
12.1,0.642226079,0.517,0.332030882843
12.2,0.644372311,0.442,0.284812561462
12.3,0.646755573,0.337,0.217956628101
12.4,0.648435521,0.242,0.156921396082
12.5,0.650606644,0.163,0.106048882972
12.6,0.652575888,0.065,0.04241743272
