SMU_V,Vpv,Ipv
11.0,0.687109339,0.016
11.05,0.687125747,0.016
11.100000000000001,0.687119242,0.016
11.150000000000002,0.687112427,0.016
11.200000000000003,0.687117319,0.016
11.250000000000004,0.68710143,0.016
11.300000000000004,0.687116405,0.015
11.350000000000005,0.687102791,0.016
11.400000000000006,0.687105956,0.016
11.450000000000006,0.68711233,0.016
11.500000000000007,-0.407408094,0.05
11.550000000000008,-0.357176199,0.049
11.600000000000009,-0.307305639,0.049
11.65000000000001,-0.257133864,0.049
11.70000000000001,-0.206962224,0.049
11.75000000000001,-0.157111997,0.048
11.800000000000011,-0.107011577,0.05
11.850000000000012,-0.056912433,0.049
11.900000000000013,-0.0067705491,0.05
11.950000000000014,0.0430821921,0.05
12.000000000000014,0.0932129913,0.049
12.050000000000015,0.143355864,0.049
12.100000000000016,0.193194955,0.05
12.150000000000016,0.243322649,0.05
12.200000000000017,0.29338723,0.049
12.250000000000018,0.34312619,0.049
12.300000000000018,0.393033047,0.049
12.35000000000002,0.442803285,0.049
12.40000000000002,0.492350444,0.047
12.45000000000002,0.541067421,0.045
12.500000000000021,0.588621044,0.044
12.550000000000022,0.631843779,0.042
12.600000000000023,0.668631133,0.024
12.650000000000023,0.700173355,0.003
12.700000000000024,0.728352703,-0.016
