SMU_V,Vpv,Ipv
6.0,-2.63860834,2.573
6.1,-2.5383768,2.573
6.199999999999999,-2.43937717,2.572
6.299999999999999,-2.33954521,2.572
6.399999999999999,-2.240886,2.571
6.499999999999998,-2.14145555,2.572
6.599999999999998,-2.04199572,2.571
6.6999999999999975,-1.94119351,2.569
6.799999999999997,-1.84095131,2.568
6.899999999999997,-1.74274668,2.569
6.9999999999999964,-1.64292417,2.57
7.099999999999996,-1.54385753,2.57
7.199999999999996,-1.44419102,2.569
7.299999999999995,-1.34434146,2.567
7.399999999999995,-1.24490208,2.567
7.499999999999995,-1.14519857,2.567
7.599999999999994,-1.04530384,2.567
7.699999999999994,-0.94568224,2.566
7.799999999999994,-0.846132265,2.565
7.899999999999993,-0.745444406,2.567
7.999999999999993,-0.645391918,2.568
8.099999999999993,-0.544931105,2.567
8.199999999999992,-0.445579689,2.566
8.299999999999992,-0.346474154,2.565
8.399999999999991,-0.246554996,2.564
8.499999999999991,-0.146128516,2.565
8.59999999999999,-0.0490630773,2.562
8.69999999999999,0.0527331931,2.563
8.79999999999999,0.152246349,2.566
8.89999999999999,0.251394173,2.565
8.99999999999999,0.349220638,2.563
9.099999999999989,0.444055169,2.563
9.199999999999989,0.509456885,2.536
9.299999999999988,0.542596509,2.478
9.399999999999988,0.561020397,2.41
9.499999999999988,0.573535473,2.338
9.599999999999987,0.583022251,2.266
9.699999999999987,0.590571968,2.199
9.799999999999986,0.596878432,2.127
9.899999999999986,0.602394245,2.057
9.999999999999986,0.60726765,1.984
10.099999999999985,0.611736085,1.907
10.199999999999985,0.615604715,1.829
10.299999999999985,0.619162954,1.75
10.399999999999984,0.622743527,1.664
10.499999999999984,0.625801147,1.586
10.599999999999984,0.628662435,1.513
