SMU_V,Vpv,Ipv
11.0,-0.928583873,0.075
11.05,-0.878415586,0.076
11.100000000000001,-0.828734102,0.076
11.150000000000002,-0.778541844,0.075
11.200000000000003,-0.728362489,0.075
11.250000000000004,-0.678629022,0.075
11.300000000000004,-0.628462765,0.075
11.350000000000005,-0.578388107,0.076
11.400000000000006,-0.528275012,0.076
11.450000000000006,-0.478366715,0.075
11.500000000000007,-0.428381943,0.076
11.550000000000008,-0.378295772,0.076
11.600000000000009,-0.32848432,0.075
11.65000000000001,-0.278337464,0.075
11.70000000000001,-0.228236684,0.075
11.75000000000001,-0.178385501,0.075
11.800000000000011,-0.128354377,0.075
11.850000000000012,-0.0782124651,0.076
11.900000000000013,-0.0281270673,0.075
11.950000000000014,0.021706254,0.075
12.000000000000014,0.0717943136,0.075
12.050000000000015,0.121928427,0.075
12.100000000000016,0.171702935,0.076
12.150000000000016,0.221908158,0.075
12.200000000000017,0.271886742,0.076
12.250000000000018,0.321590713,0.075
12.300000000000018,0.371266771,0.074
12.35000000000002,0.420895088,0.072
12.40000000000002,0.470347447,0.073
12.45000000000002,0.518858764,0.074
12.500000000000021,0.566311904,0.07
12.550000000000022,0.609750739,0.062
12.600000000000023,0.646843734,0.053
12.650000000000023,0.678364012,0.037
12.700000000000024,0.706243036,0.015
12.750000000000025,0.731905453,-0.013
