timestamp,point_index,smu_voltage_V,Vdc_pv_V,Idc_adc1_raw,Idc_pv_A,Pdc_pv_W,is_mpp_candidate,is_negative_current_endpoint
2026-05-28T09:46:47,1,11.5,-0.437012649,0.065,0.065,-0.028405822185,False,False
2026-05-28T09:46:48,2,11.6,-0.330827964,0.066,0.066,-0.021834645624,False,False
2026-05-28T09:46:49,3,11.7,-0.218704338,0.065,0.065,-0.01421578197,False,False
2026-05-28T09:46:50,4,11.8,-0.134695143,0.066,0.066,-0.008889879437999999,False,False
2026-05-28T09:46:52,5,11.9,-0.0271705317,0.065,0.065,-0.0017660845605000002,False,False
2026-05-28T09:46:53,6,12.0,0.0798159446,0.065,0.065,0.005188036399,True,False
2026-05-28T09:46:54,7,12.1,0.168529477,0.065,0.065,0.010954416005,True,False
2026-05-28T09:46:55,8,12.2,0.281440451,0.065,0.065,0.018293629315,True,False
2026-05-28T09:46:56,9,12.3,0.371217592,0.065,0.065,0.02412914348,True,False
2026-05-28T09:46:57,10,12.4,0.461352042,0.064,0.064,0.029526530688000003,True,False
2026-05-28T09:46:58,11,12.5,0.571205313,0.059,0.059,0.033701113467,True,False
2026-05-28T09:46:59,12,12.6,0.652593259,0.043,0.043,0.028061510136999996,True,False
2026-05-28T09:47:00,13,12.7,0.702630155,0.008,0.008,0.00562104124,True,False
2026-05-28T09:47:01,14,12.8,0.757279419,-0.048,-0.048,-0.036349412112,False,True
