timestamp,point_index,measurement_attempt,outlier_retries_before_acceptance,is_rejected_Z_real_outlier,mpp_smu_voltage_V,mpp_search_Vdc_pv_V,mpp_search_Idc_pv_A,mpp_search_Pdc_pv_W,Vdc_pv_V,Idc_adc1_raw,Idc_pv_A,Pdc_pv_W,f_ac_Hz,Vac_mag_raw_V,Vac_phase_raw_deg,Vac_mag_corrected_V,Vac_phase_corrected_deg,Iac_mag_raw_A,Iac_phase_raw_deg,Iac_mag_corrected_A,Iac_phase_corrected_deg,Z_real_ohm,Z_imag_ohm,Z_magnitude_ohm,Z_phase_deg
2026-05-22T13:11:36,1,1,0,False,10.3,0.520500535,2.117,1.1018996325950001,0.525567472,2.121,2.121,1.114728608112,1e-06,4e-06,-45.0,4e-06,-45.0,3.9e-05,-43.98,3.9e-05,-43.97999999999999,0.10254785048238112,-0.00182578646696551,0.10256410256410256,-1.0200000000000102
2026-05-22T13:11:41,2,1,0,False,10.3,0.520500535,2.117,1.1018996325950001,0.526131268,2.122,2.122,1.1164505506959999,1.778279410038923e-06,4e-06,150.26,4e-06,150.26,3.9e-05,-62.45,3.9e-05,-62.45,-0.08629912609286146,-0.055424326521737254,0.10256410256410256,-147.29000000000002
2026-05-22T13:11:45,3,1,0,False,10.3,0.520500535,2.117,1.1018996325950001,0.526416978,2.121,2.121,1.116530410338,3.162277660168379e-06,4e-06,-60.26,4e-06,-60.25999999999999,4.1e-05,-92.09,4.1e-05,-92.09,0.08288943054523937,0.05145372936739728,0.09756097560975609,31.830000000000013
2026-05-22T13:11:49,4,1,0,False,10.3,0.520500535,2.117,1.1018996325950001,0.526922202,2.122,2.122,1.118128912644,5.623413251903491e-06,4e-06,144.47,4e-06,144.47000000000003,4.1e-05,-110.64,4.1e-05,-110.64,-0.025069670711729674,-0.09428497002350303,0.09756097560975609,-104.88999999999999
2026-05-22T13:11:53,5,1,0,False,10.3,0.520500535,2.117,1.1018996325950001,0.52723482,2.122,2.122,1.1187922880399999,1e-05,5e-06,-68.2,5e-06,-68.2,4.2e-05,-141.24,4.2e-05,-141.24,0.03472666748357126,0.11387007581622359,0.11904761904761907,73.04000000000002
2026-05-22T13:11:57,6,1,0,False,10.3,0.520500535,2.117,1.1018996325950001,0.527648584,2.123,2.123,1.1201979438320002,1.778279410038923e-05,4e-06,113.96,4e-06,113.95999999999998,3.9e-05,-148.92,3.9e-05,-148.92,-0.012712600861025818,-0.10177320332055975,0.10256410256410256,-97.12
2026-05-22T13:12:01,7,1,0,False,10.3,0.520500535,2.117,1.1018996325950001,0.52798495,2.124,2.124,1.1214400338000001,3.1622776601683795e-05,5e-06,-77.48,5e-06,-77.48,4.2e-05,178.62,4.2e-05,178.62,-0.028598576485388483,0.1155614859021656,0.11904761904761907,103.89999999999998
2026-05-22T13:12:05,8,1,0,False,10.3,0.520500535,2.117,1.1018996325950001,0.52871024,2.123,2.123,1.12245183952,5.623413251903491e-05,4e-06,110.56,4e-06,110.56,3.6e-05,152.02,3.6e-05,152.01999999999998,0.08326868158852319,-0.07356633522783922,0.1111111111111111,-41.45999999999998
2026-05-22T13:12:09,9,1,0,False,10.3,0.520500535,2.117,1.1018996325950001,0.52903463,2.123,2.123,1.12314051949,0.0001,6e-06,-90.0,6e-06,-90.0,3.7e-05,127.33,3.7e-05,127.32999999999998,-0.1289442287097089,0.09833591774914019,0.16216216216216217,142.67000000000002
2026-05-22T13:12:13,10,1,0,False,10.3,0.520500535,2.117,1.1018996325950001,0.529434819,2.123,2.123,1.1239901207370002,0.00017782794100389227,4e-06,90.0,4e-06,90.0,3.4e-05,105.25,3.4e-05,105.25,0.11350439103868389,-0.03094484875976174,0.11764705882352941,-15.25
2026-05-22T13:12:18,11,1,0,False,10.3,0.520500535,2.117,1.1018996325950001,0.529748073,2.123,2.123,1.1246551589790001,0.00031622776601683794,5e-06,-101.31,5e-06,-101.31,3.5e-05,87.58,3.5e-05,87.57999999999998,-0.1411409789682918,0.022076850345516718,0.14285714285714288,171.11
2026-05-22T13:12:22,12,1,0,False,10.3,0.520500535,2.117,1.1018996325950001,0.530170536,2.124,2.124,1.126082218464,0.0005623413251903491,4e-06,90.0,4e-06,90.0,3.9e-05,63.12,3.9e-05,63.120000000000005,0.09148260561816932,0.046371629301656475,0.10256410256410256,26.879999999999995
