timestamp,smu_fixed_voltage_V,Vdc_pv_V,Idc_pv_A,f_ac_Hz,Vac_mag_V,Vac_phase_deg,Iac_mag_A,Iac_phase_deg,Z_mag_ohm,Z_phase_deg,Z_real_ohm,Z_imag_ohm,C_uncorrected_F
2026-05-13T12:16:01,10.5,0.48925731,1.514,0.001,8.5e-05,125.38,0.000149,168.96,0.5704697986577182,-43.58000000000001,0.41325547580811645,-0.39326289285309496,192.32590584192602
2026-05-13T12:16:06,10.5,0.489428572,1.514,0.0012589254117941675,2.3e-05,-6.63,1.2e-05,-20.56,1.9166666666666665,13.930000000000007,1.8602985837050263,0.4614111946801719,-15.878704944394098
2026-05-13T12:16:21,10.5,0.487308874,1.519,0.0025118864315095794,9e-06,-169.38,4e-06,23.96,2.25,166.65999999999997,-2.1892905688906414,0.5191404482088555,-6.497405371767127
2026-05-13T12:16:26,10.5,0.487539853,1.52,0.0031622776601683794,1.2e-05,-125.84,4e-06,165.96,3.0,68.19999999999999,1.1141035066507048,2.785457480642741,-15.576653372366508
2026-05-13T12:16:31,10.5,0.488004521,1.52,0.003981071705534973,3e-06,71.57,3e-06,-45.0,1.0,116.57,-0.4472908484187101,0.8943885603700835,-35.75578913332194
2026-05-13T12:16:37,10.5,0.486937226,1.519,0.005011872336272725,2e-06,90.0,1e-06,63.44,2.0,26.560000000000002,1.7889332274551197,0.8942694827103344,-7.099512870644532
2026-05-13T12:16:42,10.5,0.486907412,1.518,0.00630957344480193,6e-06,-63.44,6e-06,175.24,1.0,121.32,-0.5198173426207092,0.8542774316992954,-21.548600268501982
2026-05-13T12:16:47,10.5,0.486280977,1.518,0.007943282347242814,4e-06,-90.0,1e-06,63.44,4.0,-153.44,-3.577866454910239,-1.7885389654206691,2.2397448939824156
2026-05-13T12:16:52,10.5,0.486315262,1.517,0.01,5e-06,-124.99,5e-06,-60.95,1.0,-64.03999999999999,0.43774356339545273,-0.8990998680379456,14.309618833150983
2026-05-13T12:16:57,10.5,0.489264433,1.516,0.012589254117941675,7e-06,33.69,2e-06,-30.96,3.5,64.65,1.4985133149746297,3.162982428791495,-3.264230528988355
2026-05-13T12:17:02,10.5,0.490055659,1.514,0.015848931924611134,4e-06,116.57,2.3e-05,-49.4,0.17391304347826086,165.97000000000003,-0.16872503013346432,0.04216172314235997,-13.998263784226372
2026-05-13T12:17:07,10.5,0.49194023,1.51,0.0199526231496888,4e-06,-140.2,1e-05,137.12,0.39999999999999997,82.68,0.050964334932083626,0.3967400112982435,-19.779082882591652
2026-05-13T12:17:12,10.5,0.492503321,1.509,0.025118864315095794,9e-06,-130.6,1.2e-05,68.63,0.75,160.76999999999998,-0.7081530349640344,0.24702080696011655,-2.7824741671673503
2026-05-13T12:17:17,10.5,0.490726612,1.51,0.03162277660168379,8e-06,-180.0,9e-06,90.0,0.8888888888888888,90.0,5.442874662877125e-17,0.8888888888888888,-5.662036361754792
2026-05-13T12:17:22,10.5,0.486996915,1.518,0.039810717055349734,8e-06,-39.8,1e-05,167.2,0.7999999999999999,153.0,-0.7128052193506942,0.3631923997916375,-2.268699156117033
2026-05-13T12:17:28,10.5,0.485923935,1.517,0.05011872336272722,1e-05,-110.22,1.8e-05,97.3,0.5555555555555556,152.48000000000002,-0.4926942213718645,0.2566990057156712,-2.6411272636855543
2026-05-13T12:17:33,10.5,0.491186038,1.509,0.06309573444801933,2e-06,-180.0,0.002762,64.25,0.000724112961622013,115.75,-0.00031458744200175016,0.0006522072696036117,-3137.5678340184413
2026-05-13T12:17:38,10.5,0.486696433,1.516,0.07943282347242814,3e-06,168.69,0.00254,1.09,0.0011811023622047244,167.60000000000002,-0.001153549935040356,0.0002536244021658221,-364.28064073062905
2026-05-13T12:17:43,10.5,0.489647834,1.51,0.1,0.005914,-117.01,0.00037,73.47,15.983783783783784,169.51999999999998,-15.717149652973987,2.907327094217155,-0.01811151729908648
2026-05-13T12:17:48,10.5,0.484575238,1.519,0.12589254117941676,0.00628,85.35,0.003046,-58.73,2.06172028890348,144.07999999999998,-1.6696571850275017,1.2095186787157477,-0.35972715399984895
2026-05-13T12:17:53,10.5,0.486388516,1.516,0.15848931924611143,0.003088,-64.02,0.005574,-28.62,0.5540007176175099,-35.39999999999998,0.4515813837835982,-0.3209221851801563,1.0500239808068252
2026-05-13T12:17:58,10.5,0.485813236,1.516,0.1995262314968879,0.004803,-79.02,0.004569,-37.53,1.0512147078135259,-41.49000000000001,0.7874348291482344,-0.6964185176801141,0.5026984948710249
2026-05-13T12:18:03,10.5,0.484504368,1.518,0.25118864315095796,0.004073,14.63,0.006117,-93.52,0.6658492725192088,108.14999999999998,-0.20741590544421928,0.6327194448435375,-0.9042311289889898
2026-05-13T12:18:08,10.5,0.488055563,1.512,0.31622776601683794,0.000551,169.67,0.002134,-121.79,0.25820056232427363,-68.54000000000002,0.0944630845775664,-0.24030034547761817,1.814095555446509
2026-05-13T12:18:14,10.5,0.487161518,1.512,0.3981071705534973,0.001432,140.58,0.002576,-134.14,0.5559006211180123,-85.27999999999997,0.045743058483620876,-0.5540154087748426,0.7167169195008767
2026-05-13T12:18:19,10.5,0.488002842,1.513,0.5011872336272725,0.008961,-82.05,0.004447,-135.94,2.0150663368563073,53.889999999999986,1.1875538937598695,1.6279459731045345,-0.12731554213197985
2026-05-13T12:18:24,10.5,0.490061119,1.508,0.630957344480193,0.016485,-154.08,0.004177,-151.72,3.9466124012449124,-2.3600000000000136,3.943264968817723,-0.16251409586584234,0.0026318565559784886
2026-05-13T12:18:29,10.5,0.48900749,1.509,0.7943282347242814,0.015808,-169.07,0.003766,-152.96,4.197557089750398,-16.109999999999985,4.0327221247747405,-1.1647479495865742,0.01324521045056288
2026-05-13T12:18:34,10.5,0.487885279,1.511,1.0,0.013812,174.15,0.003934,-161.87,3.510930350788002,-23.980000000000018,3.2078927530668153,-1.4269043460953401,0.01842343320749049
2026-05-13T12:18:39,10.5,0.483398535,1.517,1.2589254117941675,0.005165,-160.56,0.0039,-163.6,1.3243589743589745,3.039999999999992,1.3224952754996038,0.07023488624879884,-0.0050624596808318345
2026-05-13T12:18:44,10.5,0.484189053,1.516,1.584893192461114,0.004767,-171.25,0.003824,-166.82,1.2466004184100419,-4.430000000000007,1.242876131802258,-0.09628875415305477,0.00622215982737865
2026-05-13T12:18:49,10.5,0.486213138,1.511,1.9952623149688788,0.004617,-167.24,0.003833,-170.99,1.2045395251761022,3.75,1.201960513590564,0.07878065422790777,-0.0043310939456395175
2026-05-13T12:18:55,10.5,0.483230828,1.518,2.5118864315095797,0.007879,173.49,0.00381,-171.46,2.0679790026246723,-15.049999999999955,1.9970464879817467,-0.5369753068217437,0.007955769589865854
2026-05-13T12:19:00,10.5,0.483303891,1.515,3.1622776601683795,0.007492,177.54,0.00384,-173.51,1.9510416666666668,-8.950000000000045,1.927286718502566,-0.3035284002413211,0.0040131590853755275
2026-05-13T12:19:05,10.5,0.486899929,1.508,3.981071705534973,0.006705,-173.57,0.003782,-174.59,1.772871496562665,1.0200000000000102,1.7725905712513386,0.031559626664406794,-0.0004014185828159066
2026-05-13T12:19:10,10.5,0.484327325,1.518,5.011872336272725,0.006945,-175.99,0.003812,-175.69,1.821878279118573,-0.30000000000001137,1.8218533052619044,-0.009539288774714156,9.12635612092906e-05
2026-05-13T12:19:15,10.5,0.482557509,1.517,6.30957344480193,0.006879,-176.63,0.003789,-176.25,1.8155186064924782,-0.37999999999999545,1.815478677252392,-0.012040887105802455,9.214615282677327e-05
2026-05-13T12:19:20,10.5,0.486104996,1.508,7.943282347242813,0.006933,-175.89,0.003794,-176.76,1.827358987875593,0.8700000000000045,1.8271483294791488,0.027746218684123185,-0.00016648541354651443
2026-05-13T12:19:25,10.5,0.485812563,1.509,10.0,0.006943,-177.59,0.003791,-177.36,1.8314428910577685,-0.22999999999998977,1.8314281349027433,-0.0073518632125645885,3.488436227737405e-05
2026-05-13T12:19:30,10.5,0.486512354,1.511,12.589254117941662,0.007024,-178.72,0.003776,-177.44,1.8601694915254239,-1.2800000000000011,1.8597053193177357,-0.04155312868211384,0.0001518164479495079
2026-05-13T12:19:35,10.5,0.483001889,1.51,15.848931924611142,0.00694,-178.38,0.003783,-177.48,1.8345228654507006,-0.9000000000000057,1.834296544917453,-0.02881543276342484,8.598031259268771e-05
2026-05-13T12:19:41,10.5,0.487670597,1.518,19.952623149688787,0.006955,-178.54,0.003764,-177.49,1.847768331562168,-1.049999999999983,1.8474580623358683,-0.0338602279117675,7.910700993806831e-05
2026-05-13T12:19:46,10.5,0.486346663,1.518,25.11886431509582,0.006943,-178.79,0.003778,-177.54,1.8377448385389095,-1.25,1.8373075050333005,-0.0400901923755844,7.521212316275483e-05
2026-05-13T12:19:51,10.5,0.48552945,1.513,31.622776601683793,0.006942,-178.93,0.003775,-177.42,1.8389403973509935,-1.5100000000000193,1.8383018087669833,-0.04845869265123998,7.212013287397557e-05
2026-05-13T12:19:56,10.5,0.484231703,1.516,39.81071705534969,0.006952,-179.02,0.003769,-177.03,1.8445210931281506,-1.990000000000009,1.8434086678220796,-0.06405112327737451,7.526267154844498e-05
2026-05-13T12:20:01,10.5,0.484150283,1.518,50.11872336272725,0.006839,179.29,0.003783,-177.0,1.8078244779275707,-3.7100000000000364,1.8040358925916802,-0.11697795191844228,0.00011366103858231801
2026-05-13T12:20:06,10.5,0.483733233,1.508,63.0957344480193,0.006953,-179.3,0.003764,-176.24,1.8472369819341126,-3.0600000000000023,1.844603156568531,-0.09860863148051591,7.289367295763701e-05
2026-05-13T12:20:11,10.5,0.482954436,1.511,79.43282347242821,0.006948,-179.33,0.003777,-175.5,1.8395552025417,-3.8300000000000125,1.8354467962134213,-0.12287555276832679,7.275451774182179e-05
2026-05-13T12:20:16,10.5,0.48416159,1.514,100.0,0.006909,-179.23,0.003885,-172.14,1.7783783783783784,-7.090000000000003,1.7647799997472293,-0.21950218490001425,0.00011046142463275532
2026-05-13T12:20:21,10.5,0.483951505,1.51,125.89254117941663,0.006946,-179.59,0.003826,-173.79,1.8154730789336122,-5.800000000000011,1.8061791436290546,-0.18346498699235406,7.037099626376545e-05
2026-05-13T12:20:26,10.5,0.484122216,1.517,158.48931924611142,0.006942,-179.61,0.003876,-172.55,1.7910216718266254,-7.060000000000002,1.7774421207273792,-0.22013208856683603,6.891310271186466e-05
2026-05-13T12:20:32,10.5,0.483141948,1.515,199.52623149688787,0.006957,-179.76,0.003902,-171.51,1.7829318298308559,-8.25,1.7644809579970389,-0.25583756309396066,6.419703418465882e-05
2026-05-13T12:20:37,10.5,0.484129357,1.518,251.18864315095823,0.006898,180.0,0.00404,-170.0,1.7074257425742572,-10.0,1.681486108979755,-0.29649136869962506,6.443896209802184e-05
2026-05-13T12:20:42,10.5,0.484274993,1.51,316.22776601683796,0.006931,179.86,0.004183,-168.7,1.656944776476213,-11.440000000000055,1.624026163290361,-0.32864116181664954,6.024569521448724e-05
2026-05-13T12:20:47,10.5,0.483664872,1.515,398.1071705534969,0.006917,179.7,0.00435,-167.69,1.5901149425287358,-12.610000000000014,1.5517592614585003,-0.34714366612532876,5.488735968267185e-05
2026-05-13T12:20:52,10.5,0.48437565,1.507,501.18723362727246,0.006898,179.4,0.00457,-167.38,1.509409190371991,-13.220000000000027,1.4694085397848804,-0.34518784333561814,4.811291213141874e-05
2026-05-13T12:20:57,10.5,0.484088562,1.516,630.957344480193,0.006872,179.18,0.004792,-167.46,1.4340567612687811,-13.360000000000014,1.395247502213273,-0.33136566223483155,4.06438604366346e-05
2026-05-13T12:21:02,10.5,0.484201482,1.517,794.3282347242822,0.00684,179.31,0.005022,-168.26,1.3620071684587811,-12.430000000000064,1.3300813245011618,-0.2931675240307862,3.166483316143761e-05
2026-05-13T12:21:07,10.5,0.483962372,1.507,1000.0,0.006811,178.85,0.005212,-169.4,1.3067920184190331,-11.75,1.2794088091121454,-0.266117415006859,2.480164468180594e-05
2026-05-13T12:21:12,10.5,0.48395002,1.51,1258.9254117941662,0.006784,178.71,0.005397,-170.99,1.256994626644432,-10.299999999999955,1.2367382059183152,-0.2247534236333723,1.7982894866504202e-05
2026-05-13T12:21:18,10.5,0.483550781,1.521,1584.893192461114,0.006762,178.48,0.005542,-172.65,1.2201371346084446,-8.870000000000005,1.2055451931182222,-0.1881366912647662,1.269043016536991e-05
2026-05-13T12:21:23,10.5,0.484220096,1.517,1995.2623149688789,0.00674,178.29,0.005649,-174.43,1.1931315277040184,-7.279999999999973,1.183513379562103,-0.1511916756928598,8.471715612607343e-06
2026-05-13T12:21:28,10.5,0.483717457,1.522,2511.886431509582,0.006728,177.98,0.005736,-176.23,1.1729428172942817,-5.789999999999964,1.1669588516680196,-0.11832958698442024,5.449539439910985e-06
2026-05-13T12:21:33,10.5,0.483773593,1.518,3162.2776601683795,0.006715,177.63,0.005795,-178.02,1.1587575496117342,-4.350000000000023,1.1554195428695793,-0.08789049287177188,3.2944041635360936e-06
