SMU_V,Vpv,Ipv
12.0,0.0972676411,0.099
12.05,0.146887538,0.098
12.100000000000001,0.1962832,0.097
12.150000000000002,0.246065896,0.097
12.200000000000003,0.295674685,0.097
12.250000000000004,0.344842576,0.096
12.300000000000004,0.394208941,0.093
12.350000000000005,0.443344623,0.094
12.400000000000006,0.491326393,0.093
12.450000000000006,0.536626465,0.09
12.500000000000007,0.578395956,0.081
12.550000000000008,0.61520653,0.066
12.600000000000009,0.647824839,0.048
12.65000000000001,0.678080053,0.03
12.70000000000001,0.706965575,0.011
12.75000000000001,0.734881542,-0.008
