SMU_voltage_V,Vpv_V,Idc_pv_A,Power_W
9.5,-0.167217912,2.238,-0.37423368705599996
9.6,-0.0671075556,2.235,-0.14998538676599998
9.7,0.061897612,2.235,0.13834116281999997
9.8,0.161580431,2.235,0.361132263285
9.9,0.280664692,2.237,0.627846916004
10.0,0.369690771,2.232,0.8251498008720001
10.1,0.452141714,2.225,1.00601531365
10.2,0.521907458,2.189,1.142455425562
10.3,0.545218344,2.114,1.152591579216
10.4,0.563567659,2.053,1.157004403927
10.5,0.576922714,1.955,1.1278839058699999
10.6,0.584208948,1.874,1.094807568552
10.7,0.592729834,1.797,1.065135511698
10.8,0.598667376,1.693,1.013543867568
10.9,0.603511167,1.615,0.974670534705
11.0,0.609015479,1.526,0.929357620954
11.1,0.612522522,1.427,0.874069638894
11.2,0.616579425,1.351,0.832998803175
11.3,0.620454605,1.248,0.7743273470400001
11.4,0.623192914,1.161,0.723526973154
11.5,0.626737483,1.076,0.6743695317080001
11.6,0.629391361,0.971,0.611139011531
11.7,0.631943177,0.894,0.564957200238
11.8,0.634921835,0.796,0.5053977806600001
11.9,0.636957559,0.698,0.44459637618199993
12.0,0.639568326,0.621,0.397171930446
12.1,0.641860325,0.516,0.3311999277
12.2,0.643719581,0.426,0.274224541506
12.3,0.646132209,0.345,0.222915612105
12.4,0.647907909,0.236,0.15290626652399997
12.5,0.649929062,0.16,0.10398864992000001
12.6,0.651947039,0.054,0.035205140105999996
