timestamp,sweep_index,smu_voltage_V,Vdc_pv_start_V,Idc_pv_start_A,Vdc_pv_V,Idc_pv_A,f_ac_Hz,Vac_mag_raw_V,Vac_phase_raw_deg,Vac_mag_corrected_V,Vac_phase_corrected_deg,Iac_mag_raw_A,Iac_phase_raw_deg,Iac_mag_corrected_A,Iac_phase_corrected_deg,Z_mag_ohm,Z_phase_deg,Z_real_ohm,Z_imag_ohm,Y_real_S,Y_imag_S,C_uncorrected_F
2026-05-26T12:41:00,1,11.95,0.0485205657,0.098,0.0485200631,0.098,49.99999999999999,0.007094,179.07,0.007094,179.07,0.000177,-117.79,0.000177,-117.79,40.07909604519774,-63.139999999999986,18.108216822151256,-35.75508947439711,0.011273008913952085,0.022258814676383392,7.085200766225687e-05
2026-05-26T12:41:04,1,11.95,0.0485205657,0.098,0.0494686671,0.098,84.93232323171236,0.007059,-179.34,0.007059,-179.34,5.5e-05,-163.7,5.5e-05,-163.7,128.34545454545454,-15.640000000000015,123.59341155196532,-34.60092951678993,0.007502989444034047,0.0021005198065034945,3.936170559651398e-06
2026-05-26T12:41:08,1,11.95,0.0485205657,0.098,0.0489538603,0.098,144.26999059072133,0.007054,-179.46,0.007054,-179.46,5.9e-05,-159.9,5.9e-05,-159.9,119.55932203389831,-19.560000000000002,112.65972244517607,-40.02772069180674,0.007881371327133771,0.0028002317359200357,3.0891436309772358e-06
2026-05-26T12:41:12,1,11.95,0.0485205657,0.098,0.0487188751,0.097,245.06370946974494,0.00704,-179.65,0.00704,-179.65,6.9e-05,-153.07,6.9e-05,-153.07,102.02898550724639,-26.580000000000013,91.24559097922513,-45.652557545989055,0.008765258963634967,0.004385488492632479,2.8481253833352846e-06
2026-05-26T12:41:16,1,11.95,0.0485205657,0.098,0.0485430405,0.097,416.27660370093656,0.007033,-179.13,0.007033,-179.13,8.2e-05,-147.37,8.2e-05,-147.37,85.76829268292683,-31.75999999999999,72.92538030422169,-45.145198385086694,0.009913458036670266,0.0061370270251686655,2.3463682038826656e-06
2026-05-26T12:41:20,1,11.95,0.0485205657,0.098,0.0486703585,0.098,707.1067811865474,0.007008,179.79,0.007008,179.78999999999996,0.000109,-144.28,0.000109,-144.28,64.29357798165138,-35.930000000000064,52.06072857849402,-37.72724094814069,0.012594329495927667,0.009126827773006229,2.0542579896983333e-06
2026-05-26T12:41:24,1,11.95,0.0485205657,0.098,0.0487894995,0.097,1201.1244339814311,0.006973,179.2,0.006973,179.2,0.000137,-146.14,0.000137,-146.14,50.8978102189781,-34.660000000000025,41.865549596630544,-28.94586053409329,0.01616064166984866,0.011173475194376626,1.4805408651999897e-06
2026-05-26T12:41:28,1,11.95,0.0485205657,0.098,0.0488850249,0.098,2040.2857733683695,0.006932,178.81,0.006932,178.81,0.00017,-147.1,0.00017,-147.1,40.77647058823529,-34.09000000000003,33.769367341888994,-22.8549859540928,0.02030970704493873,0.013745536436746551,1.0722370845855972e-06
2026-05-26T12:41:33,1,11.95,0.0485205657,0.098,0.0488589355,0.097,3465.724215775732,0.006873,178.26,0.006873,178.26,0.000206,-147.32,0.000206,-147.32,33.36407766990291,-34.420000000000016,27.52256941330918,-18.859211321073104,0.024724682800692392,0.016942023500148753,7.780211632979552e-07
2026-05-26T12:41:37,1,11.95,0.0485205657,0.098,0.0489063041,0.097,5887.040186524746,0.006842,177.45,0.006842,177.45,0.000244,-148.34,0.000244,-148.34,28.04098360655738,-34.210000000000036,23.18940159316426,-15.765418338064189,0.029491920512673096,0.02005021400001481,5.420534881784889e-07
