SMU_V,Vpv,Ipv
6.0,-4.33424568,1.569
6.1,-4.23521195,1.567
6.199999999999999,-4.13507847,1.568
6.299999999999999,-4.0351455,1.568
6.399999999999999,-3.9358809,1.566
6.499999999999998,-3.83674637,1.565
6.599999999999998,-3.73756404,1.565
6.6999999999999975,-3.63883515,1.564
6.799999999999997,-3.5390937,1.563
6.899999999999997,-3.43992347,1.562
6.9999999999999964,-3.3390084,1.562
7.099999999999996,-3.24113567,1.562
7.199999999999996,-3.14153468,1.561
7.299999999999995,-3.04245971,1.56
7.399999999999995,-2.9429557,1.559
7.499999999999995,-2.84378959,1.559
7.599999999999994,-2.74208476,1.56
7.699999999999994,-2.64318057,1.558
7.799999999999994,-2.54491434,1.558
7.899999999999993,-2.44578401,1.557
7.999999999999993,-2.34580392,1.557
8.099999999999993,-2.24539072,1.558
8.199999999999992,-2.14576935,1.556
8.299999999999992,-2.04696053,1.555
8.399999999999991,-1.94720968,1.554
8.499999999999991,-1.84751578,1.554
8.59999999999999,-1.74844963,1.553
8.69999999999999,-1.64825807,1.554
8.79999999999999,-1.54859359,1.554
8.89999999999999,-1.44908744,1.552
8.99999999999999,-1.34896041,1.553
9.099999999999989,-1.24965953,1.552
9.199999999999989,-1.14969396,1.551
9.299999999999988,-1.05002518,1.552
9.399999999999988,-0.950247298,1.554
9.499999999999988,-0.850870026,1.549
9.599999999999987,-0.751751826,1.55
9.699999999999987,-0.651471649,1.55
9.799999999999986,-0.551552874,1.548
9.899999999999986,-0.452334717,1.549
9.999999999999986,-0.352103222,1.548
10.099999999999985,-0.252811451,1.549
10.199999999999985,-0.15176064,1.549
10.299999999999985,-0.052834264,1.548
10.399999999999984,0.0475240341,1.548
10.499999999999984,0.147291731,1.548
10.599999999999984,0.246991722,1.548
10.699999999999983,0.346350493,1.546
10.799999999999983,0.443786376,1.542
10.899999999999983,0.524309411,1.525
10.999999999999982,0.565382775,1.468
11.099999999999982,0.586449084,1.391
11.199999999999982,0.599850606,1.308
11.299999999999981,0.609617522,1.227
11.39999999999998,0.617335812,1.144
11.49999999999998,0.623683182,1.06
11.59999999999998,0.629087305,0.974
11.69999999999998,0.633869098,0.885
11.79999999999998,0.638084048,0.799
11.899999999999979,0.641947124,0.706
11.999999999999979,0.645452764,0.614
12.099999999999978,0.648669377,0.521
12.199999999999978,0.651665332,0.426
12.299999999999978,0.654496282,0.333
12.399999999999977,0.657160411,0.244
12.499999999999977,0.659660823,0.151
12.599999999999977,0.662033793,0.06
12.699999999999976,0.66442361,-0.039
