SMU_V,Vpv,Ipv
6.0,-3.821869,1.666
6.1,-3.72916317,1.661
6.199999999999999,-3.63663206,1.655
6.299999999999999,-3.54188621,1.65
6.399999999999999,-3.44657254,1.647
6.499999999999998,-3.35092324,1.644
6.599999999999998,-3.25499393,1.64
6.6999999999999975,-3.15906531,1.638
6.799999999999997,-3.06250361,1.634
6.899999999999997,-2.96553386,1.631
6.9999999999999964,-2.86808974,1.63
7.099999999999996,-2.77170324,1.627
7.199999999999996,-2.6743259,1.625
7.299999999999995,-2.57592868,1.623
7.399999999999995,-2.47765525,1.622
7.499999999999995,-2.37982771,1.62
7.599999999999994,-2.28246765,1.618
7.699999999999994,-2.18422564,1.617
7.799999999999994,-2.08622465,1.615
7.899999999999993,-1.98830637,1.612
7.999999999999993,-1.89087697,1.611
8.099999999999993,-1.79346071,1.608
8.199999999999992,-1.69544335,1.607
8.299999999999992,-1.59693167,1.606
8.399999999999991,-1.49897017,1.605
8.499999999999991,-1.40049881,1.603
8.59999999999999,-1.30223867,1.602
8.69999999999999,-1.20405505,1.599
8.79999999999999,-1.10586911,1.599
8.89999999999999,-1.0082612,1.596
8.99999999999999,-0.910645245,1.595
9.099999999999989,-0.81233495,1.592
9.199999999999989,-0.713914929,1.593
9.299999999999988,-0.616290913,1.591
9.399999999999988,-0.518073075,1.588
9.499999999999988,-0.42064891,1.588
9.599999999999987,-0.321176695,1.588
9.699999999999987,-0.222811683,1.584
9.799999999999986,-0.125263933,1.583
9.899999999999986,-0.0269722783,1.581
9.999999999999986,0.0718031367,1.58
10.099999999999985,0.169803517,1.579
10.199999999999985,0.265168534,1.577
10.299999999999985,0.354442205,1.571
10.399999999999984,0.417287028,1.54
10.499999999999984,0.452984475,1.486
10.599999999999984,0.475958942,1.421
10.699999999999983,0.492188844,1.354
10.799999999999983,0.504643652,1.286
10.899999999999983,0.514490885,1.221
10.999999999999982,0.522842871,1.154
11.099999999999982,0.529958685,1.083
11.199999999999982,0.536232329,1.009
11.299999999999981,0.54170916,0.933
11.39999999999998,0.546672731,0.852
11.49999999999998,0.551148071,0.773
11.59999999999998,0.555294944,0.698
11.69999999999998,0.55912138,0.626
11.79999999999998,0.562653858,0.558
11.899999999999979,0.565961643,0.484
11.999999999999979,0.569092915,0.407
12.099999999999978,0.572083414,0.328
12.199999999999978,0.574886954,0.247
12.299999999999978,0.577559753,0.168
12.399999999999977,0.580124335,0.091
12.499999999999977,0.582556215,0.018
12.599999999999977,0.584954968,-0.053
