timestamp,sweep_index,smu_voltage_V,Vdc_pv_median_V,Vdc_pv_mean_V,Idc_pv_median_A,frequency_points_recorded,C_final_median_F,C_final_mean_F,C_final_std_F,filter_used_points,filter_candidate_points,filter_outlier_points,filter_frequency_min_Hz,filter_frequency_max_Hz
2026-05-18T15:50:25,1,10.4,0.0727394839,0.07152551475142857,1.592,35,3.290529914952876e-06,3.2824471579199976e-06,3.104305412970205e-08,16,33,17,23.91078459108807,10000.0
2026-05-18T15:51:58,2,10.5,0.173886836,0.17421080054285715,1.593,35,3.625937967571651e-06,3.6048744110933795e-06,1.16285054631352e-07,22,32,10,46.758565553997094,10000.0
2026-05-18T15:53:30,3,10.6,0.27681431,0.27626208557142856,1.595,35,4.200233744244129e-06,4.201099690010685e-06,2.9813911420083263e-08,15,32,17,29.900809391300406,10000.0
2026-05-18T15:55:02,4,10.7,0.376740212,0.3761367183428571,1.595,35,7.721659450687738e-06,7.640849422585382e-06,3.260879183922444e-07,26,34,8,29.900809391300406,10000.0
2026-05-18T15:56:35,5,10.8,0.469400994,0.46876385554285716,1.588,35,8.305382764110884e-05,8.168356288327171e-05,3.978540251922172e-06,25,35,10,15.290285405118688,4089.248753056563
2026-05-18T15:58:07,6,10.9,0.531883617,0.5315491454,1.551,35,0.0006412600517790842,0.0006424317005679109,5.95813520311777e-06,17,34,17,15.290285405118688,855.1055147267502
2026-05-18T15:59:39,7,11.0,0.563379803,0.5632085529428571,1.486,35,0.0016679849636340304,0.0016676827183118306,8.329878426770872e-06,15,35,20,19.120740588639627,855.1055147267502
2026-05-18T16:01:12,8,11.1,0.581744007,0.5815458860285714,1.41,35,0.0027390951143175775,0.0027382235533514464,8.386012832034793e-06,13,31,18,37.391428911458995,855.1055147267502
2026-05-18T16:02:44,9,11.2,0.594598174,0.5945920159142857,1.328,35,0.0037267120150934977,0.0037224583626610163,3.1137305097937735e-05,14,31,17,15.290285405118688,855.1055147267502
2026-05-18T16:04:16,10,11.3,0.60461531,0.6045121007714286,1.246,35,0.004584443639387445,0.0045799792259889225,2.250752035770679e-05,11,29,18,15.290285405118688,546.81632557286
2026-05-18T16:05:49,11,11.4,0.612774223,0.6127220192857142,1.155,35,0.005339109999887751,0.005326637433844082,8.941362467930558e-05,17,30,13,15.290285405118688,855.1055147267502
2026-05-18T16:07:21,12,11.5,0.619400684,0.6193397655428571,1.071,35,0.005983842305303291,0.005956517573743566,9.267754433168001e-05,14,31,17,9.777714607371097,683.8023512243657
2026-05-18T16:08:54,13,11.6,0.625094691,0.6250454659428571,0.983,35,0.006485174233439512,0.0064712844483257705,4.9450288200606496e-05,10,28,18,29.900809391300406,546.81632557286
2026-05-18T16:10:26,14,11.7,0.63011622,0.6300957202285714,0.888,35,0.006934203513298383,0.006941932530780054,0.0001043834757383645,11,29,18,15.290285405118688,546.81632557286
2026-05-18T16:11:58,15,11.8,0.634471705,0.6344405394285714,0.803,35,0.007276743354198304,0.007202267052969071,0.0002611393290687348,15,27,12,15.290285405118688,683.8023512243657
2026-05-18T16:13:30,16,11.9,0.638388362,0.6383521906857142,0.712,35,0.007536059024110898,0.007470586291070417,0.0002497512506321138,13,28,15,29.900809391300406,683.8023512243657
2026-05-18T16:15:03,17,12.0,0.641914025,0.6418967216571428,0.622,35,0.007797839066311488,0.007844454196911174,0.0003605576064885566,16,26,10,9.777714607371097,683.8023512243657
2026-05-18T16:16:35,18,12.1,0.645142001,0.6451327064285715,0.533,35,0.008029969503727393,0.008001110994362669,0.00045917700911040797,15,26,11,9.777714607371097,683.8023512243657
2026-05-18T16:18:07,19,12.2,0.648140898,0.6481112679714286,0.441,35,0.008079458370434115,0.008081575795451412,0.00035714017142521293,14,25,11,15.290285405118688,683.8023512243657
2026-05-18T16:19:40,20,12.3,0.650892616,0.6509078329428571,0.346,35,0.008022683072871675,0.008023734884406927,0.0006901328358273711,16,27,11,6.252578052676056,855.1055147267502
2026-05-18T16:21:12,21,12.4,0.653467005,0.6534605284857143,0.256,35,0.008335102187677525,0.008286602485817078,0.00023741169075829755,11,27,16,29.900809391300406,546.81632557286
2026-05-18T16:22:44,22,12.5,0.655853582,0.6558882453714285,0.169,35,0.00834921064113035,0.008348513692044063,0.00021917108604514244,11,28,17,29.900809391300406,546.81632557286
2026-05-18T16:24:17,23,12.6,0.658108395,0.6581356108571429,0.074,35,0.008107750965251952,0.007676064928169411,0.00146506476050328,18,27,9,15.290285405118688,1069.3227948205488
