SMU Voltage (V),Vpv (V),Ipv (A)
6.0,-1.50191046,3.514
6.1,-1.39995322,3.513
6.199999999999999,-1.30358133,3.51
6.299999999999999,-1.20991608,3.506
6.399999999999999,-1.10682016,3.509
6.499999999999998,-1.00847739,3.508
6.599999999999998,-0.91338264,3.504
6.6999999999999975,-0.810460849,3.506
6.799999999999997,-0.718773676,3.499
6.899999999999997,-0.615540748,3.502
6.9999999999999964,-0.516522136,3.501
7.099999999999996,-0.417925456,3.498
7.199999999999996,-0.320173958,3.496
7.299999999999995,-0.224607005,3.493
7.399999999999995,-0.124002693,3.491
7.499999999999995,-0.0320807032,3.487
7.599999999999994,0.0715448158,3.489
7.699999999999994,0.168835775,3.488
7.799999999999994,0.261120782,3.479
7.899999999999993,0.336030091,3.454
7.999999999999993,0.382404483,3.413
8.099999999999993,0.411513967,3.357
8.199999999999992,0.431540593,3.298
8.299999999999992,0.446422051,3.235
8.399999999999991,0.458157014,3.169
8.499999999999991,0.467787639,3.1
8.59999999999999,0.475795905,3.025
8.69999999999999,0.483292777,2.947
8.79999999999999,0.489723786,2.869
8.89999999999999,0.495284856,2.793
8.99999999999999,0.500483252,2.718
9.099999999999989,0.505277637,2.645
9.199999999999989,0.50949507,2.576
9.299999999999988,0.513573565,2.504
9.399999999999988,0.517294032,2.427
9.499999999999988,0.52076097,2.345
9.599999999999987,0.524066884,2.263
9.699999999999987,0.527385365,2.182
9.799999999999986,0.530386665,2.107
9.899999999999986,0.533249975,2.033
9.999999999999986,0.536138928,1.954
10.099999999999985,0.538657769,1.885
10.199999999999985,0.541217918,1.809
10.299999999999985,0.543559169,1.731
10.399999999999984,0.545965926,1.654
10.499999999999984,0.548179695,1.573
10.599999999999984,0.550391037,1.492
10.699999999999983,0.552525011,1.413
10.799999999999983,0.554554893,1.336
10.899999999999983,0.556559923,1.258
10.999999999999982,0.558518584,1.186
11.099999999999982,0.560481929,1.114
11.199999999999982,0.562352778,1.039
11.299999999999981,0.564151384,0.963
11.39999999999998,0.565940968,0.884
11.49999999999998,0.567677425,0.801
11.59999999999998,0.569376492,0.72
11.69999999999998,0.571052944,0.642
11.79999999999998,0.572685082,0.566
11.899999999999979,0.57427489,0.492
11.999999999999979,0.575880855,0.421
12.099999999999978,0.57743041,0.346
12.199999999999978,0.578899631,0.27
12.299999999999978,0.580430559,0.191
12.399999999999977,0.581903844,0.108
12.499999999999977,0.583354539,0.029
12.599999999999977,0.584852676,-0.053
