SMU_V,Vpv,Ipv
3.0,-3.78472027,1.737
3.1,-3.59798131,1.726
3.2,-3.40907852,1.718
3.3000000000000003,-3.21696254,1.711
3.4000000000000004,-3.02420259,1.706
3.5000000000000004,-2.83037756,1.701
3.6000000000000005,-2.63610231,1.699
3.7000000000000006,-2.43991051,1.692
3.8000000000000007,-2.24340449,1.688
3.900000000000001,-2.04775821,1.685
4.000000000000001,-1.85244502,1.682
4.1000000000000005,-1.65577972,1.678
4.2,-1.46014639,1.675
4.3,-1.26277137,1.672
4.3999999999999995,-1.06710905,1.67
4.499999999999999,-0.870593536,1.666
4.599999999999999,-0.674447957,1.662
4.699999999999998,-0.47789046,1.659
4.799999999999998,-0.281174319,1.656
4.899999999999998,-0.0846467259,1.654
4.999999999999997,0.111727113,1.65
5.099999999999997,0.304926736,1.645
5.199999999999997,0.432121328,1.587
5.299999999999996,0.480015582,1.466
5.399999999999996,0.505120288,1.329
5.499999999999996,0.521821498,1.184
5.599999999999995,0.53428616,1.037
5.699999999999995,0.544192161,0.887
5.7999999999999945,0.552479438,0.736
5.899999999999994,0.559592855,0.585
5.999999999999994,0.565868738,0.432
6.099999999999993,0.571485447,0.28
6.199999999999993,0.576600266,0.125
6.299999999999993,0.581398241,-0.031
