SMU_V,Vpv,Ipv
6.0,-1.6640525,3.399
6.1,-1.5621799,3.398
6.199999999999999,-1.4625147,3.398
6.299999999999999,-1.36266706,3.399
6.399999999999999,-1.26201227,3.399
6.499999999999998,-1.16275558,3.398
6.599999999999998,-1.06269925,3.397
6.6999999999999975,-0.962093973,3.399
6.799999999999997,-0.86323257,3.395
6.899999999999997,-0.765837643,3.395
6.9999999999999964,-0.663867773,3.396
7.099999999999996,-0.565438298,3.396
7.199999999999996,-0.465130372,3.394
7.299999999999995,-0.363929099,3.393
7.399999999999995,-0.264273541,3.393
7.499999999999995,-0.165595736,3.393
7.599999999999994,-0.0668406682,3.394
7.699999999999994,0.0344841787,3.392
7.799999999999994,0.132415252,3.389
7.899999999999993,0.231328035,3.387
7.999999999999993,0.314353999,3.37
8.099999999999993,0.366985194,3.332
8.199999999999992,0.397738771,3.279
8.299999999999992,0.417575627,3.216
8.399999999999991,0.431637214,3.149
8.499999999999991,0.442805491,3.082
8.59999999999999,0.451809878,3.015
8.69999999999999,0.459479641,2.94
8.79999999999999,0.466359271,2.862
8.89999999999999,0.472167799,2.784
8.99999999999999,0.477672435,2.703
9.099999999999989,0.482647978,2.624
9.199999999999989,0.487157583,2.55
9.299999999999988,0.491445123,2.476
9.399999999999988,0.495554334,2.402
9.499999999999988,0.49946126,2.327
9.599999999999987,0.503024609,2.25
9.699999999999987,0.506429034,2.169
9.799999999999986,0.509690405,2.089
9.899999999999986,0.512819158,2.007
9.999999999999986,0.515832787,1.931
10.099999999999985,0.518781464,1.857
10.199999999999985,0.521607566,1.784
10.299999999999985,0.524369019,1.71
10.399999999999984,0.527051532,1.632
10.499999999999984,0.529641255,1.552
10.599999999999984,0.532327152,1.465
10.699999999999983,0.534789839,1.384
10.799999999999983,0.537222707,1.304
10.899999999999983,0.539575735,1.229
10.999999999999982,0.541877958,1.155
11.099999999999982,0.544140689,1.085
11.199999999999982,0.546366485,1.008
11.299999999999981,0.548560749,0.929
11.39999999999998,0.550706448,0.85
11.49999999999998,0.552817647,0.767
11.59999999999998,0.554895379,0.686
11.69999999999998,0.556944405,0.607
11.79999999999998,0.558961079,0.533
11.899999999999979,0.560959049,0.459
11.999999999999979,0.562913671,0.386
12.099999999999978,0.564854431,0.31
12.199999999999978,0.566772147,0.233
12.299999999999978,0.568661899,0.153
12.399999999999977,0.570543484,0.071
12.499999999999977,0.572389378,-0.012
