timestamp,sweep_index,smu_voltage_V,Vdc_pv_start_V,Idc_pv_start_A,Vdc_pv_V,Idc_pv_A,f_ac_Hz,Vac_mag_raw_V,Vac_phase_raw_deg,Vac_mag_corrected_V,Vac_phase_corrected_deg,Iac_mag_raw_A,Iac_phase_raw_deg,Iac_mag_corrected_A,Iac_phase_corrected_deg,Z_mag_ohm,Z_phase_deg,Z_real_ohm,Z_imag_ohm,Y_real_S,Y_imag_S,C_uncorrected_F
2026-05-26T12:20:37,1,11.95,0.0237097863,0.072,0.023741789,0.072,49.99999999999999,0.007196,179.25,0.007196,179.25,0.000162,-88.77,0.000162,-88.77,44.41975308641975,-91.98000000000002,-1.534730958831507,-44.39323219976781,-0.000777821554011193,0.02249906581899744,7.161675080086691e-05
2026-05-26T12:20:41,1,11.95,0.0237097863,0.072,0.022895079,0.072,84.93232323171236,0.007114,-179.24,0.007114,-179.24,5e-06,-180.0,5e-06,-180.0,1422.7999999999997,0.7599999999999909,1422.674833124029,18.87218046532051,0.00070277764111544,-9.32254241188687e-06,-1.7469541048438376e-08
2026-05-26T12:20:45,1,11.95,0.0237097863,0.072,0.0234192581,0.074,144.26999059072133,0.00711,-179.33,0.00711,-179.33,2e-06,-90.0,2e-06,-90.0,3555.0,-89.33000000000001,41.57017737004894,-3554.7569425142733,3.289293807382794e-06,0.0002812747199435254,3.1029503684378633e-07
2026-05-26T12:20:49,1,11.95,0.0237097863,0.072,0.0237879357,0.072,245.06370946974494,0.007107,-179.41,0.007107,-179.41,2e-06,-153.44,2e-06,-153.44,3553.5,-25.97,3194.6798426506466,-1556.0793530413675,0.00025299661001256587,0.00012323075256998883,8.003136594514563e-08
2026-05-26T12:20:53,1,11.95,0.0237097863,0.072,0.0240969733,0.072,416.27660370093656,0.007107,-179.5,0.007107,-179.5,4e-06,-116.57,4e-06,-116.57,1776.75,-62.93000000000001,808.5611343717889,-1582.1091790655303,0.000256129860968165,0.0005011685410594854,1.916116589849826e-07
2026-05-26T12:20:58,1,11.95,0.0237097863,0.072,0.0236997439,0.072,707.1067811865474,0.007106,-179.59,0.007106,-179.59,7e-06,-102.09,7e-06,-102.09,1015.1428571428572,-77.5,219.71712809202276,-991.0799180848925,0.00021321099036964816,0.000961732627334581,2.1646589404249126e-07
2026-05-26T12:21:02,1,11.95,0.0237097863,0.072,0.0238061509,0.072,1201.1244339814311,0.007106,-179.98,0.007106,-179.98,1.5e-05,-106.7,1.5e-05,-106.7,473.73333333333335,-73.27999999999999,136.29063812240068,-453.70489645947174,0.0006072928063459322,0.0020216481749561707,2.678784072108532e-07
2026-05-26T12:21:06,1,11.95,0.0237097863,0.072,0.0239131584,0.072,2040.2857733683695,0.007094,179.65,0.007094,179.64999999999998,1.5e-05,-101.31,1.5e-05,-101.31,472.9333333333333,-79.04000000000002,89.91580864474466,-464.3071021786544,0.00040200939641547065,0.0020758954483268907,1.619327185709586e-07
2026-05-26T12:21:10,1,11.95,0.0237097863,0.072,0.0238223892,0.072,3465.724215775732,0.007089,179.22,0.007089,179.22000000000003,2.3e-05,-103.45,2.3e-05,-103.45,308.2173913043478,-77.32999999999998,67.60298035414412,-300.71215031936214,0.0007116255984750373,0.0031654590199825918,1.4536599533563613e-07
2026-05-26T12:21:14,1,11.95,0.0237097863,0.072,0.0238136658,0.072,5887.040186524746,0.007082,178.5,0.007082,178.5,3.9e-05,-101.59,3.9e-05,-101.59,181.5897435897436,-79.90999999999997,31.81359609796374,-178.78123525779893,0.0009647840882346965,0.005421747686760517,1.465758542841498e-07
2026-05-26T12:21:18,1,11.95,0.0237097863,0.072,0.0238239138,0.072,10000.0,0.007083,177.08,0.007083,177.08000000000004,6.7e-05,-101.97,6.7e-05,-101.97,105.71641791044776,-80.94999999999993,16.62880413956601,-104.40040176505256,0.0014879082090598387,0.00934151448965356,1.486748206992928e-07
2026-05-26T12:21:23,2,12.0,0.07394493,0.072,0.0738747783,0.072,49.99999999999999,0.007075,-177.34,0.007075,-177.34,0.000159,86.77,0.000159,86.76999999999998,44.49685534591195,95.88999999999999,-4.566219542913131,44.26194499523187,-0.0023062062708114586,-0.022354854852465765,-7.11577130374354e-05
2026-05-26T12:21:27,2,12.0,0.07394493,0.072,0.0749657753,0.071,84.93232323171236,0.007107,-179.22,0.007107,-179.22,2e-06,-135.0,2e-06,-135.0,3553.5,-44.22,2546.676921670864,-2478.265301905551,0.0002016792479102961,0.00019626151945593794,3.677750680965206e-07
2026-05-26T12:21:31,2,12.0,0.07394493,0.072,0.0736914186,0.072,144.26999059072133,0.007104,-179.3,0.007104,-179.3,1e-06,-135.0,1e-06,-135.0,7104.0,-44.30000000000001,5084.281180231339,-4961.542187701866,0.00010074503571280066,9.831296247621143e-05,1.0845633166003271e-07
2026-05-26T12:21:36,2,12.0,0.07394493,0.072,0.0738294289,0.072,245.06370946974494,0.007111,-179.36,0.007111,-179.36,3e-06,-141.34,3e-06,-141.34,2370.3333333333335,-38.02000000000001,1867.338642718628,-1459.974830098404,0.00033235654586118006,0.0002598522734308797,1.687592743930823e-07
2026-05-26T12:21:40,2,12.0,0.07394493,0.072,0.0742541165,0.071,416.27660370093656,0.007107,-179.43,0.007107,-179.43,4e-06,-153.44,4e-06,-153.44,1776.75,-25.99000000000001,1597.0682369339977,-778.597205926487,0.000505907157905127,0.0002466381150747416,9.4297096738143e-08
2026-05-26T12:21:44,2,12.0,0.07394493,0.072,0.073814101,0.071,707.1067811865474,0.007111,-179.59,0.007111,-179.59,7e-06,-131.98,7e-06,-131.98,1015.8571428571429,-47.610000000000014,684.8639579251965,-750.2846751926313,0.0006636499012521521,0.000727044174015328,1.6364243310824156e-07
2026-05-26T12:21:48,2,12.0,0.07394493,0.072,0.0739362241,0.071,1201.1244339814311,0.007106,-180.0,0.007106,-180.0,1.1e-05,-100.3,1.1e-05,-100.3,646.0,-79.7,115.50623096516183,-635.5897345050679,0.0002767836147311913,0.0015230418543862873,2.0181059747317712e-07
2026-05-26T12:21:52,2,12.0,0.07394493,0.072,0.0740027664,0.072,2040.2857733683695,0.007088,179.71,0.007088,179.71000000000004,1.8e-05,-107.92,1.8e-05,-107.92,393.77777777777777,-72.36999999999995,119.2630576573132,-375.2829084168813,0.0007691366954610572,0.0024202285411141734,1.8879283517939896e-07
2026-05-26T12:21:56,2,12.0,0.07394493,0.072,0.074032502,0.072,3465.724215775732,0.007089,179.21,0.007089,179.21000000000004,2.7e-05,-99.46,2.7e-05,-99.46,262.55555555555554,-81.32999999999998,39.57847127736056,-259.5553204317599,0.0005741383953143845,0.003765195328634217,1.729074245235405e-07
2026-05-26T12:22:00,2,12.0,0.07394493,0.072,0.0740350433,0.072,5887.040186524746,0.007078,178.43,0.007078,178.43,4.4e-05,-103.72,4.4e-05,-103.72,160.86363636363637,-77.85000000000002,33.85725263670905,-157.26028089770887,0.0013083861870779071,0.006077196561408702,1.642957823021476e-07
2026-05-26T12:22:04,2,12.0,0.07394493,0.072,0.07400817,0.072,10000.0,0.007076,177.01,0.007076,177.01,7.3e-05,-102.99,7.3e-05,-102.99,96.93150684931507,-80.0,16.831979522893146,-95.45889945636142,0.0017914523699386548,0.010159831256344148,1.6169873654267124e-07
