timestamp,smu_fixed_voltage_V,Vdc_pv_V,Idc_pv_A,f_ac_Hz,Vac_mag_raw_V,Vac_phase_raw_deg,Vac_mag_corrected_V,Vac_phase_corrected_deg,Iac_mag_raw_A,Iac_phase_raw_deg,Iac_mag_corrected_A,Iac_phase_corrected_deg,Z_mag_ohm,Z_phase_deg,Z_real_ohm,Z_imag_ohm,Y_real_S,Y_imag_S,C_uncorrected_F
2026-05-18T15:24:11,11.0,0.555363268,1.482,5.000000000000001,0.001508,175.46,0.001508,175.46000000000004,0.005298,-174.78,0.005298,-174.78,0.284635711589279,-9.759999999999991,0.2805160329125064,-0.04825187655381752,3.4624133475041554,0.595573592309319,0.018957696238205066
2026-05-18T15:24:16,11.0,0.554613488,1.48,6.252578052676056,0.004832,-158.97,0.004832,-158.97,0.005274,-176.78,0.005274,-176.78,0.9161926431551005,17.810000000000002,0.8722850492291123,0.28022803618284614,1.0391657600154727,-0.3338397012019678,-0.008497652999929259
2026-05-18T15:24:21,11.0,0.552883128,1.487,7.81894646096126,0.000705,-167.3,0.000705,-167.3,0.005257,-176.82,0.005257,-176.82,0.13410690507894235,9.519999999999982,0.13225997525625324,0.022180192403758122,7.354042868911229,-1.2332838068501333,-0.025103537295644556
2026-05-18T15:24:26,11.0,0.555812606,1.494,9.777714607371097,0.001542,-178.5,0.001542,-178.5,0.005259,-177.16,0.005259,-177.16,0.2932116371933828,-1.3400000000000034,0.2931314517114941,-0.0068568362337141035,3.409573155129095,0.07975563391470551,0.0012982075962192413
2026-05-18T15:24:32,11.0,0.55393116,1.482,12.227184751875717,0.001595,-178.85,0.001595,-178.85,0.00527,-177.48,0.00527,-177.48,0.3026565464895636,-1.3700000000000045,0.3025700307242098,-0.00723613436443236,3.3031307500124427,0.07899625046528373,0.0010282533553234018
2026-05-18T15:24:37,11.0,0.555920325,1.485,15.290285405118688,0.001551,-180.0,0.001551,-180.0,0.005264,-177.62,0.005264,-177.62,0.2946428571428572,-2.3799999999999955,0.2943886942628889,-0.012235601967107957,3.391011736302733,0.14093975305362913,0.0014670267939620586
2026-05-18T15:24:42,11.0,0.554564202,1.492,19.120740588639627,0.001567,178.77,0.001567,178.76999999999998,0.00526,-177.67,0.00526,-177.67,0.2979087452471483,-3.560000000000059,0.2973338770761323,-0.018498271205864853,3.3502551945423495,0.2084321161346626,0.0017349224224947077
2026-05-18T15:24:47,11.0,0.555405267,1.486,23.91078459108807,0.001567,177.59,0.001567,177.59000000000003,0.005254,-177.73,0.005254,-177.73,0.2982489531785307,-4.67999999999995,0.29725456970485825,-0.024334314489398844,3.341724815501463,0.2735654583146746,0.0018209061599010889
2026-05-18T15:24:52,11.0,0.556541984,1.496,29.900809391300406,0.001544,177.09,0.001544,177.09000000000003,0.005267,-177.67,0.005267,-177.67,0.29314600341750524,-5.240000000000009,0.2919209118107228,-0.02677238441476925,3.3970133341183546,0.31154378862067167,0.0016582739717735796
2026-05-18T15:24:57,11.0,0.55696213,1.486,37.391428911458995,0.001554,175.52,0.001554,175.51999999999998,0.005266,-177.61,0.005266,-177.61,0.2951006456513483,-6.8700000000000045,0.2929818552828387,-0.03529905861164578,3.3643440770924156,0.4053431180998624,0.001725324834379478
2026-05-18T15:25:02,11.0,0.55767702,1.497,46.758565553997094,0.00153,174.16,0.00153,174.15999999999997,0.005273,-177.42,0.005273,-177.42,0.29015740565143183,-8.420000000000073,0.2870298802482828,-0.042487267493050124,3.4092573921269196,0.5046513995220938,0.0017177123339986277
2026-05-18T15:25:07,11.0,0.557959935,1.497,58.472316151507385,0.001537,172.6,0.001537,172.60000000000002,0.005286,-177.11,0.005286,-177.11,0.2907680665909951,-10.289999999999964,0.28609141983272596,-0.051940042810535714,3.383852433856177,0.6143401307938158,0.0016721634269149211
2026-05-18T15:25:12,11.0,0.559038291,1.488,73.12054413161012,0.001524,170.52,0.001524,170.51999999999998,0.005306,-176.85,0.005306,-176.85,0.2872220128156804,-12.629999999999995,0.2802719319180479,-0.06280229951853655,3.3973803019739734,0.7612724322510236,0.0016569935586674969
2026-05-18T15:25:18,11.0,0.558929238,1.491,91.43838188740725,0.001511,167.98,0.001511,167.98000000000002,0.005327,-176.43,0.005327,-176.43,0.28364933358363054,-15.589999999999918,0.27321372922812526,-0.0762312442748927,3.395775605468014,0.9474787391339693,0.0016491534702935836
2026-05-18T15:25:23,11.0,0.559040883,1.496,114.34512395228295,0.001491,164.93,0.001491,164.93,0.005357,-175.91,0.005357,-175.91,0.2783274220645884,-19.159999999999968,0.2629096783416839,-0.09134908268500477,3.3938651294383235,1.1792128318984811,0.0016413253549172305
2026-05-18T15:25:28,11.0,0.559459083,1.499,142.99036249091347,0.001464,161.31,0.001464,161.31,0.005411,-175.4,0.005411,-175.4,0.2705599704306043,-23.289999999999964,0.24851350029402727,-0.1069754073187851,3.3948680642068583,1.4613588136354154,0.0016265605231664756
2026-05-18T15:25:33,11.0,0.559657184,1.483,178.81168045097576,0.001408,156.94,0.001408,156.94,0.00548,-174.76,0.00548,-174.76,0.2569343065693431,-28.30000000000001,0.22622483827388687,-0.12180952524422262,3.426857881555545,1.8451728590754248,0.0016423333231934656
2026-05-18T15:25:38,11.0,0.559676146,1.499,223.60679774997897,0.001349,151.96,0.001349,151.96000000000004,0.005573,-174.41,0.005573,-174.41,0.2420599318141037,-33.629999999999995,0.20154669298995476,-0.13405946864978038,3.4397736344490464,2.287977137549691,0.0016284964267027204
2026-05-18T15:25:43,11.0,0.560106008,1.486,279.6237912081383,0.001263,146.57,0.001263,146.57,0.005686,-174.14,0.005686,-174.14,0.222124516355962,-39.29000000000002,0.17191343464017175,-0.14065941758940076,3.4843103159124826,2.850859566402187,0.0016226387250289167
2026-05-18T15:25:48,11.0,0.560365582,1.498,349.67391598281574,0.00115,140.91,0.00115,140.90999999999997,0.00583,-174.17,0.00583,-174.17,0.19725557461406518,-44.92000000000007,0.13967537028338706,-0.13928586666465392,3.5897256658034133,3.57971523136352,0.0016293161940075926
2026-05-18T15:25:53,11.0,0.560483681,1.484,437.2726905334888,0.00104,134.96,0.00104,134.96000000000004,0.005929,-174.51,0.005929,-174.51,0.17540900657783773,-50.52999999999997,0.11150296439089097,-0.13540830299751794,3.6239536601835525,4.400900172903265,0.001601803706783031
2026-05-18T15:25:58,11.0,0.560679805,1.488,546.81632557286,0.000902,129.45,0.000902,129.45,0.00604,-175.06,0.00604,-175.06,0.14933774834437086,-55.49000000000001,0.0846073110989092,-0.12305838447330208,3.79374988395579,5.517876951196428,0.0016060189703292495
2026-05-18T15:26:04,11.0,0.560533259,1.501,683.8023512243657,0.000772,124.51,0.000772,124.50999999999999,0.00613,-175.95,0.00613,-175.95,0.1259380097879282,-59.54000000000002,0.06384260018140472,-0.10855645863522632,4.025287596238536,6.844504534500988,0.0015930578883360652
2026-05-18T15:26:09,11.0,0.560851491,1.485,855.1055147267502,0.000642,120.53,0.000642,120.52999999999997,0.006193,-176.86,0.006193,-176.86,0.10366542870983368,-62.610000000000014,0.047690743984401714,-0.09204408752227305,4.437784423261156,8.565012489493336,0.0015941472156009717
2026-05-18T15:26:14,11.0,0.561441507,1.499,1069.3227948205488,0.000525,117.49,0.000525,117.49000000000001,0.00624,-177.8,0.00624,-177.8,0.08413461538461538,-64.70999999999998,0.03594231313640181,-0.07607091186729653,5.077577911945431,10.746553244168876,0.0015994862152889488
2026-05-18T15:26:19,11.0,0.561553789,1.487,1337.2048476242364,0.00043,115.55,0.00043,115.55000000000001,0.006266,-178.73,0.006266,-178.73,0.06862432173635494,-65.72000000000003,0.028218059898782684,-0.06255428545929903,5.991989186583498,13.28314573684589,0.0015809681722176424
2026-05-18T15:26:24,11.0,0.561440883,1.496,1672.1955364374655,0.00035,114.73,0.00035,114.73000000000002,0.006278,-179.66,0.006278,-179.66,0.055750238929595415,-65.61000000000001,0.023021809133092506,-0.05077485051623919,7.407062053521376,16.336355946563927,0.0015548491455392422
2026-05-18T15:26:29,11.0,0.561440577,1.494,2091.1066221823517,0.000284,115.26,0.000284,115.25999999999999,0.006286,179.43,0.006286,179.43,0.04517976455615654,-64.17000000000002,0.019684933904078227,-0.04066588868501229,9.64375201546358,19.922431432978122,0.0015163040503686567
2026-05-18T15:26:34,11.0,0.562141467,1.487,2614.9614743325883,0.000226,117.36,0.000226,117.36000000000001,0.006285,178.53,0.006285,178.52999999999997,0.03595863166268894,-61.16999999999996,0.017339699554396903,-0.03150171440439684,13.410199967315998,24.362837899871185,0.0014828004609516122
2026-05-18T15:26:39,11.0,0.562205821,1.488,3270.050144601071,0.000185,120.17,0.000185,120.17000000000002,0.006281,177.44,0.006281,177.44,0.02945390861327814,-57.26999999999998,0.01592516465168941,-0.024777446668612212,18.356845860989846,28.56082051725348,0.0013900691313820366
2026-05-18T15:26:44,11.0,0.562329072,1.495,4089.248753056563,0.000149,125.91,0.000149,125.90999999999997,0.006267,176.26,0.006267,176.26,0.023775331099409606,-50.35000000000002,0.015170947158699283,-0.01830597528662452,26.83858087751197,32.384688518942205,0.0012604230188805318
2026-05-18T15:26:50,11.0,0.562297322,1.501,5113.669401058877,0.000123,132.54,0.000123,132.53999999999996,0.006249,174.77,0.006249,174.76999999999998,0.019683149303888623,-42.23000000000002,0.014574442673907565,-0.013229209623562298,37.618613324775794,34.146384363098505,0.0010627526799009736
2026-05-18T15:26:55,11.0,0.562165631,1.494,6394.723413140374,0.000107,142.01,0.000107,142.01,0.006218,173.18,0.006218,173.18,0.017208105500160824,-31.170000000000016,0.014723863909436773,-0.008906555253354152,49.72281121803149,30.07763235176735,0.000748586538621479
2026-05-18T15:27:00,11.0,0.562587454,1.496,7996.701453187041,9.6e-05,152.77,9.6e-05,152.76999999999998,0.006171,170.98,0.006171,170.98000000000002,0.015556635877491492,-18.210000000000036,0.014777521039635312,-0.0048614598371262046,61.061885860777224,20.087936596074627,0.00039980164627850085
2026-05-18T15:27:05,11.0,0.562505123,1.491,10000.0,9.1e-05,163.54,9.1e-05,163.53999999999996,0.006101,168.4,0.006101,168.39999999999998,0.014915587608588757,-4.860000000000014,0.014861961382340258,-0.0012636683027255704,66.80291194634789,5.680052597679027,9.040084479425778e-05
