SMU_V,Vpv,Ipv
3.0,-5.26877863,2.958
3.1,-5.25710569,2.874
3.2,-5.24465062,2.817
3.3000000000000003,-5.23090157,2.738
3.4000000000000004,-5.21579844,2.675
3.5000000000000004,-5.19933294,2.608
3.6000000000000005,-5.18126251,2.537
3.7000000000000006,-5.16124447,2.485
3.8000000000000007,-5.13897301,2.411
3.900000000000001,-5.11413392,2.362
4.000000000000001,-5.08682924,2.298
4.1000000000000005,-5.05642721,2.242
4.2,-5.02301823,2.194
4.3,-4.98615402,2.135
4.3999999999999995,-4.94584589,2.097
4.499999999999999,-4.90076736,2.043
4.599999999999999,-4.85160854,2.007
4.699999999999998,-4.79926785,1.968
4.799999999999998,-4.74149905,1.931
4.899999999999998,-4.6799753,1.905
4.999999999999997,-4.61465115,1.873
5.099999999999997,-4.54497479,1.854
5.199999999999997,-4.47192916,1.83
5.299999999999996,-4.39573283,1.811
5.399999999999996,-4.31626602,1.797
5.499999999999996,-4.23387818,1.779
5.599999999999995,-4.14857437,1.77
5.699999999999995,-4.06210308,1.758
5.7999999999999945,-3.97331312,1.749
5.899999999999994,-3.88332314,1.74
5.999999999999994,-3.79203865,1.733
6.099999999999993,-3.69922454,1.728
6.199999999999993,-3.60615251,1.721
6.299999999999993,-3.51123355,1.718
6.399999999999992,-3.41615368,1.714
6.499999999999992,-3.32059314,1.71
6.599999999999992,-3.22501627,1.707
6.699999999999991,-3.1283163,1.704
6.799999999999991,-3.03120893,1.701
6.899999999999991,-2.93450987,1.699
6.99999999999999,-2.83674266,1.697
7.09999999999999,-2.73929322,1.696
7.1999999999999895,-2.64247453,1.693
7.299999999999989,-2.54436591,1.692
7.399999999999989,-2.44696346,1.689
7.4999999999999885,-2.34857225,1.688
7.599999999999988,-2.25127679,1.686
7.699999999999988,-2.15337934,1.684
7.799999999999987,-2.05570043,1.683
7.899999999999987,-1.95731403,1.681
7.999999999999987,-1.85912306,1.679
8.099999999999987,-1.76104816,1.677
8.199999999999987,-1.66324544,1.675
8.299999999999986,-1.56504337,1.674
8.399999999999986,-1.46678943,1.672
8.499999999999986,-1.36897149,1.67
8.599999999999985,-1.27098238,1.669
8.699999999999985,-1.17246731,1.667
8.799999999999985,-1.07414038,1.666
8.899999999999984,-0.976506048,1.664
8.999999999999984,-0.878356861,1.664
9.099999999999984,-0.780303321,1.662
9.199999999999983,-0.682459776,1.661
9.299999999999983,-0.584677814,1.659
9.399999999999983,-0.486656426,1.657
9.499999999999982,-0.388736164,1.656
9.599999999999982,-0.290064298,1.654
9.699999999999982,-0.192215067,1.653
9.799999999999981,-0.0944441464,1.65
9.89999999999998,0.00541064526,1.65
9.99999999999998,0.102566139,1.647
10.09999999999998,0.201133675,1.646
10.19999999999998,0.296664028,1.645
10.29999999999998,0.378129052,1.624
10.399999999999979,0.429432789,1.589
10.499999999999979,0.459454818,1.537
10.599999999999978,0.479432554,1.462
10.699999999999978,0.494039516,1.409
10.799999999999978,0.505490143,1.322
10.899999999999977,0.514875488,1.261
10.999999999999977,0.522622494,1.187
11.099999999999977,0.529464382,1.104
11.199999999999976,0.535312673,1.042
11.299999999999976,0.540493754,0.953
11.399999999999975,0.545305221,0.891
11.499999999999975,0.549606461,0.809
11.599999999999975,0.553567077,0.733
11.699999999999974,0.557196595,0.667
11.799999999999974,0.56063408,0.579
11.899999999999974,0.563881706,0.518
11.999999999999973,0.566968895,0.429
12.099999999999973,0.569859056,0.36
12.199999999999973,0.57260362,0.285
12.299999999999972,0.575225425,0.202
12.399999999999972,0.577705581,0.139
12.499999999999972,0.580118882,0.047
12.599999999999971,0.582505969,-0.015
