SMU_V,Vpv,Ipv
11.5,-0.426025941,0.07
11.55,-0.375933887,0.07
11.600000000000001,-0.326115819,0.071
11.650000000000002,-0.275965198,0.07
11.700000000000003,-0.225904031,0.07
11.750000000000004,-0.175988782,0.07
11.800000000000004,-0.126037689,0.07
11.850000000000005,-0.0759062445,0.069
11.900000000000006,-0.0257531077,0.071
11.950000000000006,0.024030746,0.07
12.000000000000007,0.0740982981,0.07
12.050000000000008,0.124251438,0.07
12.100000000000009,0.174060439,0.07
12.15000000000001,0.224197682,0.07
12.20000000000001,0.274283164,0.071
12.25000000000001,0.323911566,0.07
12.300000000000011,0.373639568,0.071
12.350000000000012,0.42327389,0.071
12.400000000000013,0.472657916,0.068
12.450000000000014,0.521163514,0.065
12.500000000000014,0.568562293,0.065
12.550000000000015,0.611870137,0.06
12.600000000000016,0.648579974,0.044
12.650000000000016,0.679548768,0.028
12.700000000000017,0.706766276,0.008
12.750000000000018,0.731795439,-0.016
