timestamp,point_index,smu_voltage_V,Vdc_pv_V,Idc_adc1_raw,Idc_pv_A,Pdc_pv_W
2026-06-01T17:07:04,1,11.0,-0.887494381,0.075,0.075,-0.066562078575
2026-06-01T17:07:05,2,11.05,-0.837313295,0.076,0.076,-0.06363581042
2026-06-01T17:07:06,3,11.1,-0.787560084,0.076,0.076,-0.059854566383999996
2026-06-01T17:07:07,4,11.15,-0.737457268,0.076,0.076,-0.056046752368
2026-06-01T17:07:08,5,11.2,-0.687158485,0.076,0.076,-0.05222404486
2026-06-01T17:07:09,6,11.25,-0.637371354,0.076,0.076,-0.048440222904
2026-06-01T17:07:10,7,11.3,-0.587154532,0.076,0.076,-0.044623744432
2026-06-01T17:07:11,8,11.35,-0.537053184,0.076,0.076,-0.040816041984
2026-06-01T17:07:12,9,11.4,-0.486922832,0.076,0.076,-0.037006135232
2026-06-01T17:07:13,10,11.45,-0.437198698,0.076,0.076,-0.033227101048
2026-06-01T17:07:15,11,11.5,-0.387018616,0.076,0.076,-0.029413414816
2026-06-01T17:07:16,12,11.55,-0.336870592,0.076,0.076,-0.025602164992
2026-06-01T17:07:17,13,11.6,-0.287019276,0.076,0.076,-0.021813464975999997
2026-06-01T17:07:18,14,11.65,-0.236996712,0.076,0.076,-0.018011750112
2026-06-01T17:07:19,15,11.7,-0.186954118,0.076,0.076,-0.014208512967999999
2026-06-01T17:07:20,16,11.75,-0.136998042,0.077,0.077,-0.010548849233999999
2026-06-01T17:07:21,17,11.8,-0.0870530438,0.076,0.076,-0.006616031328799999
2026-06-01T17:07:22,18,11.85,-0.0369183088,0.076,0.076,-0.0028057914688
2026-06-01T17:07:23,19,11.9,0.013373114,0.076,0.076,0.001016356664
2026-06-01T17:07:24,20,11.95,0.0630539049,0.076,0.076,0.0047920967724
2026-06-01T17:07:25,21,12.0,0.113063158,0.075,0.075,0.008479736849999999
2026-06-01T17:07:26,22,12.05,0.163247957,0.076,0.076,0.012406844731999999
2026-06-01T17:07:27,23,12.1,0.21298519,0.076,0.076,0.01618687444
2026-06-01T17:07:28,24,12.15,0.263180616,0.076,0.076,0.020001726815999998
2026-06-01T17:07:29,25,12.2,0.313207996,0.076,0.076,0.023803807695999997
2026-06-01T17:07:30,26,12.25,0.362765906,0.077,0.077,0.027932974762
2026-06-01T17:07:32,27,12.3,0.412365385,0.077,0.077,0.031752134645
2026-06-01T17:07:33,28,12.35,0.461854436,0.076,0.076,0.035100937135999995
2026-06-01T17:07:34,29,12.4,0.510905843,0.075,0.075,0.038317938224999994
2026-06-01T17:07:35,30,12.45,0.558373617,0.067,0.067,0.037411032339
2026-06-01T17:07:36,31,12.5,0.603093537,0.066,0.066,0.039804173442000004
2026-06-01T17:07:37,32,12.55,0.641887491,0.052,0.052,0.033378149531999995
2026-06-01T17:07:38,33,12.6,0.674577263,0.036,0.036,0.024284781467999998
2026-06-01T17:07:39,34,12.65,0.703571724,0.015,0.015,0.010553575859999999
2026-06-01T17:07:40,35,12.7,0.730459741,0.001,0.001,0.000730459741
2026-06-01T17:07:41,36,12.75,0.755663589,-0.032,-0.032,-0.024181234848
