timestamp,point_index,smu_voltage_V,Vdc_pv_V,Idc_adc1_raw,Idc_pv_A,Pdc_pv_W
2026-06-01T17:06:29,1,11.0,-0.887767499,0.075,0.075,-0.06658256242499999
2026-06-01T17:06:29,2,11.1,-0.787627896,0.076,0.076,-0.059859720096000005
2026-06-01T17:06:29,3,11.2,-0.687460925,0.076,0.076,-0.0522470303
2026-06-01T17:06:29,4,11.3,-0.587522459,0.076,0.076,-0.044651706884
2026-06-01T17:06:30,5,11.4,-0.48733675,0.076,0.076,-0.037037593
2026-06-01T17:06:30,6,11.5,-0.38746349,0.076,0.076,-0.02944722524
2026-06-01T17:06:30,7,11.6,-0.287527275,0.076,0.076,-0.021852072900000002
2026-06-01T17:06:30,8,11.7,-0.187199872,0.076,0.076,-0.014227190272
2026-06-01T17:06:30,9,11.8,-0.0875210557,0.076,0.076,-0.0066516002332
2026-06-01T17:06:31,10,11.9,0.0128044282,0.076,0.076,0.0009731365432
2026-06-01T17:06:31,11,12.0,0.112795127,0.076,0.076,0.008572429651999999
2026-06-01T17:06:31,12,12.1,0.212653121,0.076,0.076,0.016161637196
2026-06-01T17:06:31,13,12.2,0.312750918,0.076,0.076,0.023769069767999997
2026-06-01T17:06:32,14,12.3,0.411843462,0.075,0.075,0.03088825965
2026-06-01T17:06:32,15,12.4,0.510352475,0.076,0.076,0.038786788100000004
2026-06-01T17:06:32,16,12.5,0.602710938,0.063,0.063,0.037970789094
2026-06-01T17:06:32,17,12.6,0.674451904,0.044,0.044,0.029675883775999997
2026-06-01T17:06:32,18,12.7,0.730386184,0.001,0.001,0.000730386184
2026-06-01T17:06:33,19,12.8,0.780138744,-0.048,-0.048,-0.037446659712
